	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
1																			24,28													
2																			24,28													
3																			24,28													
4												23,29																				
5																													36,43			
6			0,9																													
7			0,9																													
8			0,9																													
9			0,9																													
10		8,10							25,29					22,25							16,21											
11		8,10							25,29					22,25							16,21											
12		8,10							25,29					22,25							16,21											
13		8,10					16,22					23,29																				
14		8,10		14,22					25,29					22,25	30,32														36,43			
15		8,10		14,22					25,29					22,25	30,32														36,43			
16		8,10		14,22					25,29					22,25	30,32														36,43			
17		8,10		14,22					25,29					22,25															36,43			
18			0,9			9,16			25,29					22,25							16,21								36,43			
19			0,9			9,16			25,29					22,25							16,21								36,43			
20			0,9	14,22					25,29					22,25															36,43			
21																20,21																
22																20,21																
23																20,21																
24																20,21																
25																20,21							21,29									
26																20,21							21,29									
27																20,21											25,34					
28										23,25																						
29										23,25																						
30										23,25																						
31										23,25																						
32										23,25																						
33										23,25								17,21														
34																				32,39		39,42										
35																				32,39		39,42										
36																	22,29	17,21				39,42		30,39								
37																	22,29	17,21				39,42		30,39								
38																	22,29	17,21				39,42		30,39								
39																	22,29	17,21		32,39		39,42										
40																	22,29	17,21		32,39		39,42										
41																	22,29	17,21		32,39		39,42										
42					10,17												22,29	17,21				39,42						29,36				
43					10,17												22,29	17,21				39,42						29,36				
44																									29,36							
45																									29,36							
46																									29,36							
47																														34,42		
48																														34,42		
49								26,29			23,26														29,36							
50								26,29			23,26															29,34				34,42	42,43	
51								26,29			23,26		16,23													29,34				34,42	42,43	
52								26,29			23,26		16,23													29,34				34,42	42,43	
53								26,29			23,26		16,23													29,34				34,42	42,43	
54								26,29			23,26		16,23													29,34				34,42	42,43	
55											23,26		16,23													29,34				34,42	42,43	
56											23,26		16,23													29,34				34,42	42,43	
